,GOOG,GOOG,GOOG,GOOG,GOOG
,open,high,low,close,volume
time,,,,,
2020-09-01 12:19:00-04:00,1650.94,1650.94,1650.94,1650.94,453
2020-09-01 12:23:00-04:00,1649.87,1649.87,1649.87,1649.87,301
2020-09-01 12:28:00-04:00,1649.42,1649.42,1649.42,1649.42,209
2020-09-01 12:29:00-04:00,1651.92,1651.92,1651.92,1651.92,359
2020-09-01 12:30:00-04:00,1650.66,1650.66,1650.66,1650.66,100
2020-09-01 12:33:00-04:00,1654.225,1654.225,1654.225,1654.225,284
2020-09-01 12:36:00-04:00,1653.0,1653.62,1653.0,1653.62,209
2020-09-01 12:37:00-04:00,1653.7,1653.7,1653.7,1653.7,432
2020-09-01 12:43:00-04:00,1652.83,1652.83,1652.83,1652.83,119
2020-09-01 12:46:00-04:00,1654.47,1654.47,1654.47,1654.47,212
2020-09-01 12:55:00-04:00,1658.935,1659.65,1658.935,1659.65,200
2020-09-01 12:57:00-04:00,1659.38,1659.91,1659.38,1659.755,310
2020-09-01 12:58:00-04:00,1660.31,1660.41,1660.31,1660.41,213
2020-09-01 13:03:00-04:00,1658.92,1658.92,1658.92,1658.92,324
2020-09-01 13:04:00-04:00,1658.605,1658.605,1658.605,1658.605,100
2020-09-01 13:07:00-04:00,1658.72,1658.72,1658.72,1658.72,413
2020-09-01 13:08:00-04:00,1656.465,1656.465,1656.465,1656.465,181
2020-09-01 13:09:00-04:00,1655.02,1655.02,1655.02,1655.02,123
2020-09-01 13:20:00-04:00,1658.13,1658.13,1658.13,1658.13,112
2020-09-01 13:27:00-04:00,1659.0,1659.365,1659.0,1659.365,200
2020-09-01 13:28:00-04:00,1659.2,1659.2,1659.08,1659.08,578
2020-09-01 13:29:00-04:00,1660.42,1660.42,1660.42,1660.42,201150
2020-09-01 13:33:00-04:00,1660.92,1660.92,1660.92,1660.92,279
2020-09-01 13:35:00-04:00,1660.5,1660.5,1660.5,1660.5,100
2020-09-01 13:40:00-04:00,1662.14,1662.17,1662.14,1662.17,358
2020-09-01 13:42:00-04:00,1662.13,1662.13,1662.13,1662.13,102
2020-09-01 13:45:00-04:00,1661.335,1661.335,1661.335,1661.335,214
2020-09-01 13:47:00-04:00,1661.9,1661.9,1661.9,1661.9,100
2020-09-01 13:48:00-04:00,1661.49,1661.97,1661.49,1661.97,417
2020-09-01 13:49:00-04:00,1662.0,1662.0,1662.0,1662.0,346
2020-09-01 13:50:00-04:00,1662.63,1662.63,1662.23,1662.23,200
2020-09-01 13:51:00-04:00,1662.72,1662.72,1662.09,1662.09,352
2020-09-01 13:58:00-04:00,1662.95,1662.95,1662.95,1662.95,117
2020-09-01 14:00:00-04:00,1662.02,1662.02,1662.02,1662.02,201
2020-09-01 14:06:00-04:00,1662.655,1662.655,1662.655,1662.655,105
2020-09-01 14:09:00-04:00,1663.38,1663.38,1661.84,1661.99,1278
2020-09-01 14:10:00-04:00,1662.1,1662.47,1662.1,1662.47,200
2020-09-01 14:14:00-04:00,1662.49,1662.49,1662.49,1662.49,120
2020-09-01 14:16:00-04:00,1663.27,1663.27,1663.27,1663.27,162
2020-09-01 14:19:00-04:00,1665.45,1665.45,1665.45,1665.45,121
2020-09-01 14:20:00-04:00,1665.27,1665.27,1665.27,1665.27,371
2020-09-01 14:25:00-04:00,1665.435,1665.435,1665.435,1665.435,152
2020-09-01 14:28:00-04:00,1663.91,1663.91,1663.91,1663.91,100
2020-09-01 14:30:00-04:00,1664.43,1664.43,1664.43,1664.43,211
2020-09-01 14:31:00-04:00,1664.51,1664.51,1664.51,1664.51,102
2020-09-01 14:33:00-04:00,1665.24,1665.25,1665.24,1665.25,211
2020-09-01 14:38:00-04:00,1662.765,1662.765,1662.765,1662.765,100
2020-09-01 14:39:00-04:00,1663.02,1663.02,1663.02,1663.02,101
2020-09-01 14:41:00-04:00,1663.74,1663.74,1663.74,1663.74,100
