,GOOG,GOOG,GOOG,GOOG,GOOG
,open,high,low,close,volume
time,,,,,
2019-04-09 00:00:00-04:00,1196.0,1202.29,1193.08,1198.11,696674
2019-04-10 00:00:00-04:00,1200.68,1203.785,1196.435,1202.16,607098
2019-04-11 00:00:00-04:00,1203.96,1207.96,1200.13,1205.03,527643
2019-04-12 00:00:00-04:00,1210.0,1218.35,1208.11,1217.87,812343
2019-04-15 00:00:00-04:00,1218.0,1224.2,1209.1101,1221.63,981401
2019-04-16 00:00:00-04:00,1225.0,1230.82,1220.12,1227.47,762365
2019-04-17 00:00:00-04:00,1232.57,1240.56,1227.82,1236.52,1036381
2019-04-18 00:00:00-04:00,1239.18,1242.0,1234.61,1236.81,1118597
2019-04-22 00:00:00-04:00,1235.99,1249.09,1228.31,1249.09,656033
2019-04-23 00:00:00-04:00,1250.69,1269.0,1246.38,1264.32,1112768
2019-04-24 00:00:00-04:00,1264.12,1268.01,1255.0,1255.45,695256
2019-04-25 00:00:00-04:00,1265.33,1267.4083,1252.03,1262.98,955607
2019-04-26 00:00:00-04:00,1269.14,1273.07,1260.32,1271.76,1079506
2019-04-29 00:00:00-04:00,1274.0,1289.27,1266.2949,1287.86,1702119
2019-04-30 00:00:00-04:00,1185.0,1192.81,1175.0,1188.47,5730819
2019-05-01 00:00:00-04:00,1188.05,1188.05,1167.18,1167.92,2458890
2019-05-02 00:00:00-04:00,1167.76,1174.1895,1155.0018,1162.48,1795505
2019-05-03 00:00:00-04:00,1173.65,1186.8,1169.0,1185.56,1768455
2019-05-06 00:00:00-04:00,1166.26,1190.85,1166.26,1189.51,1428613
2019-05-07 00:00:00-04:00,1180.47,1190.44,1161.04,1174.62,1346224
2019-05-08 00:00:00-04:00,1172.01,1180.4243,1165.74,1165.74,1147955
2019-05-09 00:00:00-04:00,1159.03,1169.66,1150.85,1162.61,1073175
2019-05-10 00:00:00-04:00,1163.59,1172.6,1142.5,1164.54,1179002
2019-05-13 00:00:00-04:00,1141.96,1147.94,1122.11,1132.2,1629896
2019-05-14 00:00:00-04:00,1137.21,1140.42,1119.55,1120.33,1629345
2019-05-15 00:00:00-04:00,1117.88,1171.33,1116.6656,1164.15,1998410
2019-05-16 00:00:00-04:00,1164.51,1188.16,1162.84,1178.98,1371946
2019-05-17 00:00:00-04:00,1170.0,1180.15,1160.01,1162.3,1084503
2019-05-20 00:00:00-04:00,1144.5,1146.7968,1131.4425,1138.85,1178068
2019-05-21 00:00:00-04:00,1148.49,1152.7076,1137.94,1149.63,876706
2019-05-22 00:00:00-04:00,1146.98,1158.52,1145.89,1151.42,785684
2019-05-23 00:00:00-04:00,1140.5,1145.9725,1129.224,1140.57,1032094
2019-05-24 00:00:00-04:00,1147.36,1149.765,1131.66,1134.0,1010820
2019-05-28 00:00:00-04:00,1134.0,1151.5872,1133.12,1133.18,1080860
2019-05-29 00:00:00-04:00,1129.0,1129.1,1108.2201,1116.52,1409908
2019-05-30 00:00:00-04:00,1115.54,1123.13,1112.12,1117.79,863192
2019-05-31 00:00:00-04:00,1101.29,1109.6,1100.18,1103.85,1263774
2019-06-03 00:00:00-04:00,1065.5,1065.5,1025.0,1036.37,4718037
2019-06-04 00:00:00-04:00,1042.9,1056.05,1033.69,1053.03,2551467
2019-06-05 00:00:00-04:00,1051.54,1053.55,1030.49,1042.6538,1996408
2019-06-06 00:00:00-04:00,1044.99,1047.49,1033.7,1044.6,1390063
2019-06-07 00:00:00-04:00,1050.63,1070.92,1048.4,1066.03,1534480
2019-06-10 00:00:00-04:00,1073.74,1092.66,1072.3217,1080.38,1308899
2019-06-11 00:00:00-04:00,1094.69,1101.91,1077.6025,1078.58,1268601
2019-06-12 00:00:00-04:00,1078.0,1080.93,1067.54,1077.33,962330
2019-06-13 00:00:00-04:00,1083.64,1094.17,1080.15,1088.79,1761861
2019-06-14 00:00:00-04:00,1086.35,1092.69,1080.1721,1085.35,1967629
2019-06-17 00:00:00-04:00,1086.28,1099.18,1086.28,1092.51,806603
2019-06-18 00:00:00-04:00,1109.69,1116.39,1098.99,1103.5,1188882
2019-06-19 00:00:00-04:00,1105.6,1107.0,1093.48,1102.58,1005445
2019-06-20 00:00:00-04:00,1119.99,1120.12,1104.74,1110.95,999721
2019-06-21 00:00:00-04:00,1109.24,1124.11,1108.08,1122.42,1698835
2019-06-24 00:00:00-04:00,1119.24,1122.0,1111.01,1115.83,1253846
2019-06-25 00:00:00-04:00,1112.66,1114.35,1083.8,1086.34,1337198
2019-06-26 00:00:00-04:00,1086.5,1092.97,1072.24,1079.8,1575204
2019-06-27 00:00:00-04:00,1084.0,1087.1,1075.29,1075.93,855143
2019-06-28 00:00:00-04:00,1077.95,1081.0,1073.37,1080.62,1175726
2019-07-01 00:00:00-04:00,1098.0,1107.58,1093.703,1097.9,1298059
2019-07-02 00:00:00-04:00,1102.24,1111.77,1098.17,1111.77,870597
2019-07-03 00:00:00-04:00,1117.41,1126.76,1113.86,1121.92,667055
2019-07-05 00:00:00-04:00,1117.8,1132.88,1116.14,1131.27,981402
2019-07-08 00:00:00-04:00,1125.08,1125.98,1111.21,1116.7,1024026
2019-07-09 00:00:00-04:00,1111.8,1128.025,1107.17,1124.58,1143544
2019-07-10 00:00:00-04:00,1131.22,1142.05,1130.97,1140.48,1061462
2019-07-11 00:00:00-04:00,1143.25,1153.07,1139.58,1144.13,1099333
2019-07-12 00:00:00-04:00,1144.67,1147.34,1138.78,1144.56,766077
2019-07-15 00:00:00-04:00,1146.86,1150.82,1139.4,1150.68,802371
2019-07-16 00:00:00-04:00,1146.0,1158.58,1145.0,1153.599,1154977
2019-07-17 00:00:00-04:00,1151.28,1158.36,1145.77,1146.49,994473
2019-07-18 00:00:00-04:00,1141.74,1147.605,1132.73,1146.8,953780
2019-07-19 00:00:00-04:00,1148.19,1151.14,1129.79,1130.01,1259818
2019-07-22 00:00:00-04:00,1133.45,1139.25,1124.24,1138.27,1058948
2019-07-23 00:00:00-04:00,1143.79,1146.9,1131.8,1146.56,979434
2019-07-24 00:00:00-04:00,1131.9,1144.0,1126.99,1138.18,1279364
2019-07-25 00:00:00-04:00,1137.82,1141.7,1120.92,1134.3239,1559015
2019-07-26 00:00:00-04:00,1224.04,1265.5499,1224.0,1247.0,4307604
2019-07-29 00:00:00-04:00,1241.05,1247.37,1228.23,1239.01,2019677
2019-07-30 00:00:00-04:00,1225.41,1234.87,1223.3,1225.14,1379728
2019-07-31 00:00:00-04:00,1223.0,1234.0,1207.7635,1216.68,1523175
2019-08-01 00:00:00-04:00,1213.7,1234.1,1205.72,1209.01,1813827
2019-08-02 00:00:00-04:00,1200.74,1204.22,1188.94,1193.99,1234037
2019-08-05 00:00:00-04:00,1170.04,1175.24,1140.14,1152.32,2241508
2019-08-06 00:00:00-04:00,1163.31,1179.96,1160.0,1169.36,1371466
2019-08-07 00:00:00-04:00,1156.0,1178.4451,1149.6239,1173.9,1210600
2019-08-08 00:00:00-04:00,1182.83,1205.01,1173.02,1204.52,1242257
2019-08-09 00:00:00-04:00,1197.99,1203.88,1183.603,1187.79,906731
2019-08-12 00:00:00-04:00,1179.21,1184.96,1167.6722,1174.07,863212
